season,week,team,player_id,player_name,position_group,status,report_date,source
2026,2,CAR,,Albert Reese IV,OT,active,2026-09-14 15:10:00+00:00,espn
2026,2,CAR,,Haynes King,QB,active,2026-09-14 15:10:00+00:00,espn
2026,2,CAR,,Zakee Wheatley,S,active,2026-09-14 15:10:00+00:00,espn
2026,2,CAR,,Cam Jackson,IDL,active,2026-09-14 15:10:00+00:00,espn
2026,2,CAR,,Darren Waller,TE,active,2026-09-14 02:55:00+00:00,espn
2026,2,CAR,,Jonathon Brooks,RB,active,2026-09-14 00:06:00+00:00,espn
2026,2,CAR,,Tetairoa McMillan,WR,active,2026-09-13 22:24:00+00:00,espn
2026,2,CAR,,Chuba Hubbard,RB,active,2026-09-13 22:17:00+00:00,espn
2026,2,CAR,,Bryce Young,QB,active,2026-09-13 22:09:00+00:00,espn
2026,2,CAR,,Princely Umanmielen,LB,active,2026-09-13 16:09:00+00:00,espn
2026,2,CAR,,Akayleb Evans,CB,active,2026-09-10 00:17:00+00:00,espn
2026,2,CAR,,Jaelan Phillips,LB,active,2026-09-09 22:51:00+00:00,espn
2026,2,CAR,,Derrick Brown,IDL,active,2026-09-09 22:46:00+00:00,espn
2026,2,CHI,,Anthony Johnson Jr.,S,unknown,2026-09-20 14:13:00+00:00,espn
2026,2,CHI,,Ozzy Trapilo,OT,active,2026-09-19 01:10:00+00:00,espn
2026,2,CHI,,Malik Muhammad II,CB,active,2026-09-18 23:26:00+00:00,espn
2026,2,CHI,,Xavier Woods,S,active,2026-09-18 23:24:00+00:00,espn
2026,2,CHI,,Dayo Odeyingbo,EDGE,active,2026-09-18 19:38:00+00:00,espn
2026,2,CHI,,Darnell Wright,OT,active,2026-09-18 19:38:00+00:00,espn
2026,2,CHI,,Kyle Monangai,RB,active,2026-09-18 19:16:00+00:00,espn
2026,2,CHI,,D'Andre Swift,RB,active,2026-09-18 19:11:00+00:00,espn
2026,2,CHI,,Neville Gallimore,IDL,active,2026-09-17 19:41:00+00:00,espn
2026,2,CHI,,Tyson Bagent,QB,active,2026-09-16 20:20:00+00:00,espn
2026,2,CHI,,T.J. Edwards,LB,active,2026-09-16 02:45:00+00:00,espn
2026,2,CHI,,Devin Bush,LB,active,2026-09-16 02:40:00+00:00,espn
2026,2,CHI,,Dillon Thieneman,S,active,2026-09-16 01:19:00+00:00,espn
2026,2,CHI,,Cairo Santos,PK,active,2026-09-15 00:10:00+00:00,espn
2026,2,CHI,,Jahdae Walker,WR,active,2026-09-14 23:59:00+00:00,espn
2026,2,CHI,,Jayden Loving,IDL,active,2026-09-14 15:10:00+00:00,espn
2026,2,CHI,,Jordan McFadden,IOL,active,2026-09-14 15:10:00+00:00,espn
2026,2,CHI,,Jamree Kromah,EDGE,active,2026-09-14 15:10:00+00:00,espn
2026,2,CHI,,Cole Kmet,TE,active,2026-09-14 00:43:00+00:00,espn
2026,2,CHI,,Kalif Raymond,WR,active,2026-09-14 00:16:00+00:00,espn
2026,2,CHI,,Rome Odunze,WR,active,2026-09-13 22:02:00+00:00,espn
2026,2,CHI,,Luther Burden III,WR,active,2026-09-13 21:58:00+00:00,espn
2026,2,CHI,,Colston Loveland,TE,active,2026-09-13 21:54:00+00:00,espn
2026,2,CHI,,Caleb Williams,QB,active,2026-09-13 21:37:00+00:00,espn
2026,2,CHI,,Tyrique Stevenson Sr.,CB,active,2026-09-13 19:52:00+00:00,espn
2026,2,CIN,,Joe Burrow,QB,questionable,2026-09-20 10:33:00+00:00,espn
2026,2,CIN,,Josh Johnson,QB,active,2026-09-19 20:42:00+00:00,espn
2026,2,CIN,,B.J. Hill,IDL,questionable,2026-09-18 20:22:00+00:00,espn
2026,2,CIN,,Samaje Perine,RB,active,2026-09-18 20:20:00+00:00,espn
2026,2,CIN,,Ja'Marr Chase,WR,active,2026-09-17 20:25:00+00:00,espn
2026,2,CIN,,Shemar Stewart,EDGE,active,2026-09-16 23:52:00+00:00,espn
2026,2,CIN,,Demetrius Knight Jr.,LB,active,2026-09-16 01:25:00+00:00,espn
2026,2,CIN,,Erick All Jr.,TE,active,2026-09-15 00:24:00+00:00,espn
2026,2,CIN,,Drew Sample,TE,active,2026-09-15 00:18:00+00:00,espn
2026,2,CIN,,Andrei Iosivas,WR,active,2026-09-14 21:07:00+00:00,espn
2026,2,CIN,,Josh Newton,CB,active,2026-09-14 15:11:00+00:00,espn
2026,2,CIN,,Myles Hinton,OT,active,2026-09-14 15:11:00+00:00,espn
2026,2,CIN,,Ke'Shawn Williams,WR,active,2026-09-14 15:11:00+00:00,espn
2026,2,CIN,,Connor Lew,IOL,active,2026-09-14 15:11:00+00:00,espn
2026,2,CIN,,Landon Robinson,IDL,active,2026-09-14 15:11:00+00:00,espn
2026,2,CIN,,Evan McPherson,PK,active,2026-09-14 04:16:00+00:00,espn
2026,2,CIN,,Mike Gesicki,TE,active,2026-09-13 22:58:00+00:00,espn
2026,2,CIN,,Tee Higgins,WR,active,2026-09-13 21:58:00+00:00,espn
2026,2,CIN,,Chase Brown,RB,active,2026-09-13 21:08:00+00:00,espn
2026,2,CIN,,Jack Endries,TE,active,2026-09-13 16:16:00+00:00,espn
2026,2,CIN,,DJ Turner II,CB,active,2026-09-11 23:32:00+00:00,espn
2026,2,CIN,,Myles Murphy,EDGE,active,2026-09-09 21:51:00+00:00,espn
2026,2,CIN,,Dax Hill,CB,active,2026-09-09 21:40:00+00:00,espn
2026,2,CIN,,Brian Parker II,OT,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,CIN,,Ja'Sir Taylor,CB,unknown,2026-08-31 22:51:00+00:00,espn
2026,2,CLE,,Shedeur Sanders,QB,active,2026-09-20 12:31:00+00:00,espn
2026,2,CLE,,Noah Igbinoghene,CB,questionable,2026-09-19 16:36:00+00:00,espn
2026,2,CLE,,Elgton Jenkins,IOL,active,2026-09-19 01:26:00+00:00,espn
2026,2,CLE,,Parker Brailsford,IOL,active,2026-09-19 01:21:00+00:00,espn
2026,2,CLE,,Teven Jenkins,IOL,out,2026-09-19 00:59:00+00:00,espn
2026,2,CLE,,Tyson Campbell,CB,questionable,2026-09-18 22:49:00+00:00,espn
2026,2,CLE,,Maliek Collins,IDL,active,2026-09-18 20:07:00+00:00,espn
2026,2,CLE,,Dawand Jones,OT,active,2026-09-17 20:08:00+00:00,espn
2026,2,CLE,,Raheim Sanders,RB,active,2026-09-17 00:40:00+00:00,espn
2026,2,CLE,,Jaleel McLaughlin,RB,active,2026-09-15 19:58:00+00:00,espn
2026,2,CLE,,Dylan Sampson,RB,unknown,2026-09-15 19:33:00+00:00,espn
2026,2,CLE,,Carson Schwesinger,LB,active,2026-09-15 04:05:00+00:00,espn
2026,2,CLE,,Andre Szmyt,PK,active,2026-09-15 00:45:00+00:00,espn
2026,2,CLE,,Jerry Jeudy,WR,active,2026-09-14 22:14:00+00:00,espn
2026,2,CLE,,Deshaun Watson,QB,active,2026-09-14 18:10:00+00:00,espn
2026,2,CLE,,Daniel Thomas,S,active,2026-09-14 15:12:00+00:00,espn
2026,2,CLE,,Justin Jefferson,LB,active,2026-09-14 15:12:00+00:00,espn
2026,2,CLE,,Toriano Pride Jr.,CB,active,2026-09-14 15:12:00+00:00,espn
2026,2,CLE,,KC Concepcion,WR,active,2026-09-14 01:43:00+00:00,espn
2026,2,CLE,,Harold Fannin Jr.,TE,active,2026-09-14 00:46:00+00:00,espn
2026,2,CLE,,Denzel Boston,WR,active,2026-09-13 23:56:00+00:00,espn
2026,2,CLE,,Quinshon Judkins,RB,active,2026-09-13 22:49:00+00:00,espn
2026,2,CLE,,Taylen Green,QB,active,2026-09-13 15:46:00+00:00,espn
2026,2,CLE,,Jeremiah Owusu-Koramoah,LB,out,2026-09-08 20:42:00+00:00,espn
2026,2,CLE,,Dillon Gabriel,QB,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,DAL,,DeMarvion Overshown,LB,out,2026-09-19 00:07:00+00:00,espn
2026,2,DAL,,Malik Hooker,S,out,2026-09-19 00:02:00+00:00,espn
2026,2,DAL,,James Houston,LB,active,2026-09-17 22:33:00+00:00,espn
2026,2,DAL,,Caleb Downs,S,active,2026-09-16 01:49:00+00:00,espn
2026,2,DAL,,Donovan Ezeiruaku,LB,active,2026-09-16 01:36:00+00:00,espn
2026,2,DAL,,Tyler Goodson,RB,active,2026-09-15 23:10:00+00:00,espn
2026,2,DAL,,KaVontae Turpin,WR,active,2026-09-15 02:44:00+00:00,espn
2026,2,DAL,,Jonathan Mingo,WR,active,2026-09-15 02:39:00+00:00,espn
2026,2,DAL,,Luke Schoonmaker,TE,active,2026-09-15 02:36:00+00:00,espn
2026,2,DAL,,Emari Demercado,RB,active,2026-09-15 02:33:00+00:00,espn
2026,2,DAL,,Brevyn Spann-Ford,TE,active,2026-09-15 02:32:00+00:00,espn
2026,2,DAL,,Hunter Luepke,RB,active,2026-09-15 02:24:00+00:00,espn
2026,2,DAL,,Ryan Flournoy,WR,active,2026-09-15 02:18:00+00:00,espn
2026,2,DAL,,Jake Ferguson,TE,active,2026-09-15 02:06:00+00:00,espn
2026,2,DAL,,Brandon Aubrey,PK,active,2026-09-14 15:55:00+00:00,espn
